tic,datafqtr,atq,cshoq,niq,prccq
MTLS,2014Q4,161.211,47.147,-0.721,9.52
MTLS,2015Q1,147.755,47.147,-0.897,6.99
MTLS,2015Q2,151.191,47.147,-3.395,9.095
MTLS,2015Q3,146.451,47.147,-1.235,7.69
MTLS,2015Q4,156.517,47.325,2.479,7.06
MTLS,2016Q1,159.975,47.325,-3.589,7.6
MTLS,2016Q2,158.041,47.325,-0.368,7.15
MTLS,2016Q3,165.79,47.325,-0.133,7.7
MTLS,2016Q4,170.858,47.325,0.904,7.68
MTLS,2017Q1,183.829,47.325,-0.873,9.1
MTLS,2017Q2,201.946,47.325,-1.148,11.87
MTLS,2017Q3,212.801,47.325,-1.74,14.56
MTLS,2017Q4,285.569,47.325,1.77,12.71
MTLS,2018Q1,298.57,47.325,-0.225,11.69
MTLS,2018Q2,288.156,47.325,0.442,12.98
MTLS,2018Q3,363.396,47.325,2.69,13.8
MTLS,2018Q4,358.611,52.891,0.559,20.03
MTLS,2019Q1,358.554,47.325,-0.341,15.74
MTLS,2019Q2,361.352,47.325,-0.344,19.52
MTLS,2019Q3,378.437,47.325,1.039,18.48
MTLS,2019Q4,391.972,53.173,1.493,18.31
MTLS,2020Q1,375.399,53.173,-3.122,18.57
MTLS,2020Q2,371.878,53.173,-2.216,22.56
MTLS,2020Q3,376.684,53.173,-0.52,36.91
MTLS,2020Q4,394.965,54.169,-2.729,54.21
MTLS,2021Q1,375.782,54.169,-4.275,35.95
MTLS,2021Q2,472.014,54.169,3.948,24.09
MTLS,2021Q3,480.864,54.169,10.048,20.1
MTLS,2021Q4,470.18,59.064,5.239,23.87
MTLS,2022Q1,460.031,59.064,0.149,19.35
MTLS,2022Q2,438.836,59.064,0.934,13.62
MTLS,2022Q3,407.524,59.064,1.326,10.71
MTLS,2022Q4,439.533,59.067,-4.678,8.8
MTLS,2023Q1,443.076,59.067,4.043,8.3
MTLS,2023Q2,436.984,59.067,-0.512,8.64
MTLS,2023Q3,416.988,59.067,4.143,5.49
MTLS,2023Q4,438.413,59.067,-0.244,6.565
MTLS,2024Q1,425.32,59.067,3.874,5.28
KEYS,2015Q1,3029,168,70,33.39
KEYS,2015Q2,3061,169,96,33.46
KEYS,2015Q3,3097,169,70,30.54
KEYS,2015Q4,3508,169.591,277,33.08
KEYS,2016Q1,3481,171,64,23.4
KEYS,2016Q2,3655,169.4,88,26.08
KEYS,2016Q3,3675,169.7,91,29.24
KEYS,2016Q4,3803,169.998,92,32.8
KEYS,2017Q1,3869,171.7,109,37.07
KEYS,2017Q2,6014,184.7,49,37.43
